Elapsed time,HTTP Request,HTTP2 Request
23:05.5,516.4,442.8
23:06.0,432,350.4285714
23:06.5,422.5833333,413.8
23:07.0,484.8181818,405.9
23:07.5,420,407.2
23:08.0,419.952381,442.3125
23:08.5,367.3571429,460.375
23:09.0,435.375,443.6875
23:09.5,434.1538462,407.7777778
23:10.0,462.5384615,432.8181818
23:10.5,415.5384615,450.3333333
23:11.0,404.1428571,391.3125
23:11.5,36.66666667,30.8
23:12.0,37.2,36.8
23:12.5,38.6,32.83333333
23:13.0,35.66666667,28.28571429
23:13.5,35.83333333,31.8
23:14.0,31.4,28.57142857
23:14.5,31.66666667,29.5
23:15.0,33.33333333,27
23:15.5,35,31.6
23:16.0,32.66666667,30.5
23:16.5,39,31.83333333
23:17.0,34.4,36
23:17.5,34.33333333,28.5
23:18.0,34.71428571,29.71428571
23:18.5,32.8,29.5
23:19.0,35.33333333,25.75
23:19.5,34.25,29
23:20.0,37.8,28
23:20.5,34.16666667,31.83333333
Average,814.4516075,818.8425032
Max,1987.706019,2325.571429
Min,31.4,25.75
