Elapsed time,HTTP Request,HTTP2 Request
23:04.5,801.5,376.6666667
23:05.0,845,419.9375
23:05.5,859.35,409
23:06.0,873,332
23:06.5,773,413.8
23:07.0,802.2,405.9
23:07.5,832.3846154,407.2
23:08.0,682.1111111,442.3125
23:08.5,729.6428571,476.25
23:09.0,753.125,443.6875
23:09.5,734.9230769,411.1
23:10.0,803.4166667,440.75
23:10.5,749.3076923,450.3333333
23:11.0,644,391.3125
23:11.5,92.5,30.8
23:12.0,101.4,36.8
23:12.5,98.6,32.83333333
23:13.0,90.83333333,28.28571429
23:13.5,91.25,31.8
23:14.0,92.8,28.57142857
23:14.5,83,29.66666667
23:15.0,87.6,27
23:15.5,94,31.6
23:16.0,92.6,30.5
23:16.5,98.33333333,31.83333333
23:17.0,96,36
23:17.5,94,28.5
23:18.0,91,29.71428571
23:18.5,87.16666667,29.5
23:19.0,92.45833333,28
23:19.5,93.8,29
23:20.0,95,28
23:20.5,96.66666667,31.83333333
Average,1466.77715,816.5934762
Max,3049.666667,2325.571429
Min,83,27
